seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID	modalTSS
16175	chr1	26869586	26869714	+	27	108	0.51	129	-32.83	-1.11	0.35	NA	26869601
16185	chr1	26872295	26872357	+	37	1126	0.33	63	10.52	-1.4	0.35	NA	26872334
16286	chr1	26900692	26900912	+	51	94	0.07	221	22.53	-3.38	0.05	NA	26900899
16288	chr1	26900983	26901113	+	27	51	0.12	131	-5.22	-2.49	0.06	NA	26901079
16339	chr1	27022490	27022563	+	23	120	0.35	74	-6.28	-0.99	0.34	NA	27022521
16345	chr1	27023153	27023159	+	2	63	0.98	7	2.9	1.88	0.88	NA	27023158
16444	chr1	27056141	27056355	+	36	105	0.36	215	43.21	-1.76	0.27	NA	27056315
16448	chr1	27057639	27057822	+	49	93	0.15	184	-4.38	-3.07	0.1	NA	27057688
16453	chr1	27059227	27059284	+	10	51	0.35	58	-10.81	-0.63	0.21	NA	27059233
16583	chr1	27102038	27102132	+	17	50	0.52	95	2.48	-0.85	0.3	NA	27102085
16604	chr1	27105518	27105843	+	85	146	0.05	326	8.01	-4.18	0.04	NA	27105747
16618	chr1	27107348	27107524	+	59	178	0.11	177	12.67	-3.19	0.12	NA	27107474
16619	chr1	27107561	27107634	+	24	122	0.24	74	-5.52	-1.81	0.17	NA	27107571
16625	chr1	27108084	27108307	+	45	96	0.2	224	34.67	-2.84	0.12	NA	27108260
16637	chr1	27113940	27114108	+	56	235	0.16	169	-5.06	-2.83	0.17	NA	27114003
16641	chr1	27114423	27114491	+	22	93	0.18	69	-12.19	-1.8	0.15	NA	27114441
16642	chr1	27114667	27114733	+	19	72	0.28	67	-11.39	-1.32	0.22	NA	27114677
16699	chr1	27153117	27153288	+	35	125	0.14	172	2.99	-2.52	0.12	NA	27153208
16701	chr1	27153415	27153559	+	31	68	0.1	145	10	-2.53	0.09	NA	27153460
16710	chr1	27155116	27155202	+	17	60	0.38	87	13.62	-1.18	0.22	NA	27155175
16713	chr1	27155362	27155533	+	26	58	0.19	172	-6.71	-2.21	0.1	NA	27155464
16777	chr1	27180897	27180949	+	14	565	0.85	53	9.75	1.17	0.78	NA	27180932
16794	chr1	27182105	27182163	+	14	56	0.39	59	-0.96	-0.98	0.22	NA	27182132
16840	chr1	27248179	27248374	+	115	5440	0.13	196	-36.84	-2.72	0.31	NA	27248232
16871	chr1	27267984	27268079	+	26	90	0.36	96	7.24	-1.59	0.24	NA	27268042
16978	chr1	27533459	27533466	+	7	59	0.68	8	-0.79	0.31	0.4	NA	27533460
16980	chr1	27533674	27533693	+	4	1006	0.98	20	8.48	1.85	0.92	NA	27533691
16982	chr1	27533845	27533870	+	9	202	0.74	26	0.6	0.61	0.56	NA	27533858
17004	chr1	27561010	27561309	+	109	681	0.09	300	10.01	-3.65	0.17	NA	27561152
17121	chr1	27648643	27648834	+	86	986	0.16	192	24.95	-2.65	0.28	NA	27648755
17197	chr1	27668478	27668592	+	34	156	0.2	115	-9.8	-2.37	0.14	NA	27668522
17386	chr1	27976064	27976083	+	13	367	0.33	20	4.47	-0.76	0.25	NA	27976079
17393	chr1	27985208	27985324	+	25	102	0.34	117	4.02	-1.52	0.24	NA	27985258
17439	chr1	28052461	28052538	+	25	216	0.16	78	6.15	-1.87	0.17	NA	28052529
17490	chr1	28099646	28099835	+	79	753	0.17	190	-13.03	-2.78	0.24	NA	28099728
17544	chr1	28128255	28128345	+	15	56	0.59	91	12.52	-0.46	0.37	NA	28128326
17608	chr1	28157237	28157367	+	52	440	0.16	131	16.45	-2.31	0.24	NA	28157313
17649	chr1	28176924	28177059	+	29	177	0.51	136	6.26	-0.97	0.39	NA	28176992
17652	chr1	28177246	28177443	+	29	69	0.13	198	15.66	-2.43	0.09	NA	28177335
17653	chr1	28177471	28177567	+	31	99	0.14	97	-16.02	-2.42	0.11	NA	28177473
17669	chr1	28198990	28199093	+	42	1649	0.41	104	16.75	-0.94	0.45	NA	28199053
17709	chr1	28208849	28209071	+	126	633	0.09	223	-16.38	-3.99	0.14	NA	28208923
17781	chr1	28261440	28261478	+	14	52	0.58	39	6.37	-0.45	0.36	NA	28261469
17795	chr1	28286427	28286560	+	33	71	0.14	134	-1.46	-2.6	0.09	NA	28286441
17907	chr1	28501984	28502015	+	15	51	0.31	32	9.56	-0.92	0.25	NA	28502014
17914	chr1	28503195	28503482	+	61	115	0.09	288	-12.84	-3.54	0.07	NA	28503347
17944	chr1	28562580	28562776	+	89	3295	0.5	197	-16.89	-1.29	0.49	NA	28562663
17946	chr1	28562868	28562944	+	20	108	0.37	77	7.37	-1.24	0.25	NA	28562913
17956	chr1	28564336	28564581	+	68	397	0.14	246	69.34	-2.76	0.22	NA	28564546
17981	chr1	28585990	28586082	+	31	288	0.32	93	-11.18	-1.35	0.32	NA	28586033
18075	chr1	28655494	28655626	+	73	753	0.09	133	-4.12	-3.35	0.14	NA	28655536
18110	chr1	28696053	28696337	+	112	834	0.14	285	-10.35	-3.39	0.21	NA	28696184
18359	chr1	28826629	28826630	+	2	57	0.77	2	-0.27	1.23	0.23	NA	28826628
18366	chr1	28832423	28832688	+	88	4909	0.52	266	-2.54	-0.85	0.56	NA	28832553
18371	chr1	28832977	28833244	+	69	161	0.17	268	-8.13	-3.28	0.14	NA	28833081
18393	chr1	28835299	28835503	+	55	259	0.12	205	-5.54	-3.05	0.13	NA	28835343
18401	chr1	28836016	28836055	+	14	63	0.43	40	4.64	-0.8	0.26	NA	28836046
18411	chr1	28836992	28837092	+	19	64	0.38	101	-1.17	-1.37	0.21	NA	28837045
18413	chr1	28837186	28837372	+	40	160	0.26	187	-23.34	-2.16	0.22	NA	28837212
18437	chr1	28844706	28844829	+	62	1289	0.17	124	-3.09	-2.25	0.29	NA	28844763
18500	chr1	28865151	28865408	+	79	275	0.16	258	40.91	-3.12	0.19	NA	28865338
18501	chr1	28865445	28865454	+	6	92	0.42	10	2.12	0.17	0.29	NA	28865451
18511	chr1	28869727	28869728	+	2	572	0.97	2	-0.47	1.79	0.79	NA	28869726
18519	chr1	28879501	28879750	+	48	248	0.24	250	-24.08	-2.31	0.23	NA	28879596
18577	chr1	28904157	28904229	+	24	133	0.24	73	-4.57	-1.62	0.21	NA	28904185
18593	chr1	28918924	28919015	+	22	84	0.21	92	14.48	-1.56	0.2	NA	28918985
18620	chr1	28975104	28975190	+	29	205	0.73	87	-31.59	-0.03	0.58	NA	28975110
18621	chr1	28975221	28975322	+	28	52	0.12	102	6.37	-2.48	0.07	NA	28975265
18634	chr1	28995217	28995366	+	38	217	0.13	150	7.15	-2.48	0.15	NA	28995294
18732	chr1	29063292	29063624	+	103	1548	0.27	333	6.43	-2.25	0.36	NA	29063450
18884	chr1	29213566	29213702	+	98	4429	0.25	137	-17.06	-2.53	0.32	NA	29213613
18911	chr1	29241002	29241153	+	45	264	0.35	152	-2.8	-1.91	0.29	NA	29241079
18971	chr1	29313956	29314022	+	21	96	0.34	67	12.43	-1.22	0.27	NA	29314012
19205	chr1	29445625	29445777	+	27	73	0.29	153	45.26	-1.76	0.21	NA	29445764
19207	chr1	29446131	29446269	+	75	909	0.17	139	11.57	-2.65	0.25	NA	29446233
19208	chr1	29446294	29446323	+	19	118	0.49	30	8.97	-0.86	0.33	NA	29446320
19210	chr1	29446380	29446417	+	19	157	0.33	38	0.42	-1.04	0.28	NA	29446395
19225	chr1	29475175	29475213	+	16	69	0.65	39	8.84	-0.19	0.45	NA	29475205
19332	chr1	30063909	30063909	+	1	60	1	1	0	2	1	NA	30063908
19614	chr1	31263189	31263196	+	6	61	0.77	8	-2.16	0.72	0.51	NA	31263189
19748	chr1	31769781	31769970	+	94	1430	0.28	190	-16.73	-2.42	0.33	NA	31769843
19815	chr1	31819489	31819559	+	26	376	0.3	71	-14.71	-1.47	0.26	NA	31819498
19876	chr1	31896295	31896715	+	124	600	0.09	421	23.38	-3.76	0.17	NA	31896646
19907	chr1	31904706	31905070	+	74	126	0.04	365	-5.01	-3.94	0.04	NA	31904846
19945	chr1	31971731	31972080	+	114	795	0.36	350	-30.46	-2.43	0.35	NA	31971872
20376	chr1	32479236	32479944	+	258	3524	0.2	709	-85.26	-3.15	0.36	NA	32479459
20427	chr1	32495893	32495945	+	28	68	0.1	53	3.63	-2.5	0.06	NA	32495936
20470	chr1	32508162	32508362	+	39	150	0.25	201	-4.79	-2.21	0.2	NA	32508239
20478	chr1	32508793	32508869	+	15	60	0.5	77	-19.92	-0.72	0.3	NA	32508801
20479	chr1	32508904	32509082	+	45	323	0.28	179	18.32	-2.08	0.26	NA	32509022
20481	chr1	32509148	32509302	+	50	431	0.23	155	-33.61	-1.87	0.31	NA	32509178
20482	chr1	32509330	32509457	+	34	140	0.32	128	16.51	-1.89	0.24	NA	32509430
20565	chr1	32538497	32538646	+	62	403	0.13	150	-15.35	-2.78	0.2	NA	32538565
20569	chr1	32539095	32539256	+	26	53	0.19	162	13.65	-2.1	0.13	NA	32539196
20631	chr1	32573588	32573736	+	57	745	0.18	149	5.62	-2.37	0.25	NA	32573646
20745	chr1	32636944	32637040	+	29	106	0.56	97	-7.28	-0.98	0.39	NA	32636977
20750	chr1	32637409	32637558	+	34	57	0.14	150	8.59	-2.78	0.06	NA	32637556
20768	chr1	32638673	32638724	+	16	159	0.7	52	13.59	0.25	0.56	NA	32638712
20810	chr1	32645250	32645419	+	74	1991	0.36	170	0.66	-1.95	0.36	NA	32645342
20811	chr1	32645487	32645760	+	102	1020	0.15	274	50.7	-3.18	0.22	NA	32645664
20822	chr1	32646949	32647178	+	85	246	0.19	230	-33.15	-3.36	0.16	NA	32647036
20891	chr1	32661330	32661420	+	27	55	0.25	91	-1.36	-2.2	0.12	NA	32661363
20893	chr1	32661502	32661556	+	20	58	0.19	55	5.88	-1.87	0.1	NA	32661536
20894	chr1	32661607	32661921	+	76	128	0.05	315	-31.08	-4.01	0.04	NA	32661785
20907	chr1	32662989	32663265	+	49	124	0.17	277	42.8	-2.75	0.15	NA	32663173
20909	chr1	32663356	32663412	+	27	93	0.15	57	4.77	-2.31	0.09	NA	32663358
20921	chr1	32666133	32666345	+	83	1609	0.11	213	-15.86	-2.83	0.24	NA	32666194
20926	chr1	32667218	32667362	+	75	1362	0.25	145	3.19	-2.36	0.3	NA	32667300
20950	chr1	32670947	32670961	+	12	240	0.68	15	1.35	0.14	0.48	NA	32670955
20977	chr1	32687972	32688047	+	42	580	0.29	76	-5.14	-1.9	0.28	NA	32688006
21001	chr1	32697038	32697180	+	28	206	0.22	143	20.51	-1.63	0.24	NA	32697128
21022	chr1	32716797	32716947	+	61	1365	0.31	151	1.39	-1.79	0.36	NA	32716864
21108	chr1	32757667	32757796	+	95	4621	0.13	130	-8.75	-2.91	0.25	NA	32757703
21275	chr1	32796152	32796263	+	29	161	0.5	112	-5.86	-1.14	0.35	NA	32796177
21276	chr1	32796364	32796485	+	33	193	0.36	122	1.5	-1.25	0.36	NA	32796428
21280	chr1	32797280	32797426	+	38	75	0.11	147	-9.32	-2.89	0.07	NA	32797376
21283	chr1	32797694	32797844	+	46	290	0.26	151	-8.32	-1.87	0.3	NA	32797760
21291	chr1	32798974	32799007	+	14	97	0.37	34	3.61	-0.84	0.25	NA	32798996
21477	chr1	33116718	33116928	+	136	5332	0.12	211	-10.71	-3.46	0.23	NA	33116786
21479	chr1	33117046	33117146	+	16	51	0.25	101	4.53	-1.25	0.19	NA	33117084
21498	chr1	33123060	33123145	+	22	52	0.17	86	11.31	-2.04	0.09	NA	33123142
21526	chr1	33133830	33133936	+	21	56	0.18	107	-13.82	-1.97	0.1	NA	33133831
21528	chr1	33134339	33134428	+	27	138	0.26	90	9.2	-1.89	0.18	NA	33134422
21530	chr1	33134582	33134704	+	45	219	0.16	123	2.79	-2.58	0.17	NA	33134610
21582	chr1	33145449	33145478	+	8	50	0.62	30	11.6	0.2	0.4	NA	33145476
21727	chr1	33283087	33283469	+	150	1013	0.06	383	-44.92	-4.07	0.16	NA	33283205
21728	chr1	33283495	33283725	+	53	126	0.13	231	10.3	-3.16	0.1	NA	33283682
21758	chr1	33287200	33287218	+	16	72	0.4	19	2.17	-1.03	0.24	NA	33287212
21849	chr1	33301998	33302034	+	19	61	0.16	37	-1.23	-1.82	0.1	NA	33302001
22075	chr1	33593099	33593143	+	20	79	0.33	45	0.06	-1.24	0.25	NA	33593121
22076	chr1	33593176	33593286	+	39	193	0.28	111	-7.32	-2.29	0.19	NA	33593202
22129	chr1	33722085	33722166	+	16	59	0.44	82	1.75	-0.75	0.31	NA	33722144
22253	chr1	33938217	33938310	+	25	190	0.44	94	-11.33	-1.23	0.3	NA	33938250
22527	chr1	35544948	35545019	+	26	158	0.32	72	2.16	-1.41	0.28	NA	35544990
22646	chr1	35734244	35734390	+	64	467	0.21	147	3.33	-2.46	0.26	NA	35734353
22647	chr1	35734429	35734665	+	62	210	0.14	237	10.61	-3.04	0.15	NA	35734566
22756	chr1	35816998	35817032	+	16	149	0.43	35	-2.91	-0.61	0.35	NA	35817006
22757	chr1	35817061	35817069	+	6	59	0.56	9	-1.22	0.23	0.31	NA	35817060
23018	chr1	36023368	36023484	+	51	252	0.12	117	-19.68	-2.85	0.14	NA	36023398
23276	chr1	36348774	36348910	+	32	111	0.29	137	-25.84	-1.9	0.22	NA	36348814
23334	chr1	36385556	36385684	+	30	97	0.34	129	22.27	-1.74	0.24	NA	36385652
23341	chr1	36386044	36386074	+	19	68	0.35	31	4.69	-1.35	0.21	NA	36386072
23424	chr1	36396682	36396926	+	80	342	0.13	245	-9.03	-3.39	0.15	NA	36396725
23581	chr1	36489244	36489283	+	12	69	0.41	40	5.43	-0.65	0.26	NA	36489267
23708	chr1	36554446	36554524	+	38	176	0.11	79	5.3	-2.52	0.14	NA	36554491
23716	chr1	36555612	36555631	+	7	124	0.69	20	-5.94	0.8	0.57	NA	36555614
23789	chr1	36621720	36621829	+	21	55	0.2	110	-14.03	-1.9	0.11	NA	36621751
23905	chr1	36689994	36690107	+	69	1789	0.15	114	-9.48	-2.48	0.27	NA	36690028
24019	chr1	36752776	36752872	+	25	267	0.34	97	-2.47	-1.17	0.32	NA	36752852
24067	chr1	36762180	36762340	+	33	87	0.29	161	13.1	-2.24	0.16	NA	36762317
24077	chr1	36766559	36766686	+	36	83	0.16	128	-19.75	-2.59	0.11	NA	36766583
24080	chr1	36767169	36767265	+	24	60	0.22	97	-19.77	-1.8	0.17	NA	36767179
24087	chr1	36769375	36769690	+	81	162	0.05	316	19.44	-4.06	0.04	NA	36769531
24088	chr1	36769740	36769952	+	76	2638	0.27	213	59.23	-1.25	0.48	NA	36769911
24089	chr1	36769978	36770044	+	21	51	0.18	67	-15.49	-1.82	0.13	NA	36769979
24091	chr1	36770157	36770288	+	31	51	0.1	132	4.05	-2.69	0.05	NA	36770287
24096	chr1	36770883	36770899	+	7	57	0.39	17	-5.23	0.02	0.3	NA	36770885
24368	chr1	37940149	37940182	+	7	215	0.78	34	14.43	0.86	0.59	NA	37940179
24507	chr1	38144441	38144442	+	2	57	0.91	2	0.41	1.57	0.57	NA	38144441
24515	chr1	38158111	38158288	+	84	1372	0.16	178	-19.37	-2.92	0.23	NA	38158186
24516	chr1	38158360	38158436	+	14	53	0.4	77	10.28	-1.11	0.18	NA	38158415
24567	chr1	38173998	38174207	+	35	51	0.06	210	3.36	-2.97	0.03	NA	38174053
24570	chr1	38174361	38174589	+	49	88	0.08	229	11.57	-3.35	0.05	NA	38174474
24629	chr1	38273411	38273499	+	16	60	0.43	89	3.37	-1.03	0.24	NA	38273464
24633	chr1	38273845	38274004	+	63	606	0.15	160	11	-2.54	0.24	NA	38273939
24713	chr1	38478330	38478517	+	91	8830	0.29	188	-26.58	-1.46	0.47	NA	38478382
24727	chr1	38484136	38484228	+	24	59	0.2	93	-15.27	-2.07	0.11	NA	38484135
24941	chr1	39175215	39175237	+	10	293	0.71	23	9.57	0.42	0.52	NA	39175236
24943	chr1	39175346	39175378	+	10	52	0.35	33	-8.81	-0.6	0.22	NA	39175348
24955	chr1	39176755	39176758	+	3	191	0.69	4	-1.11	0.93	0.33	NA	39176754
25041	chr1	39456894	39457025	+	68	1384	0.18	132	-9.02	-2.43	0.27	NA	39456942
25109	chr1	39471125	39471164	+	11	55	0.35	40	8.46	-0.77	0.2	NA	39471161
25125	chr1	39491911	39492062	+	95	45955	0.46	152	32.97	-1.4	0.48	NA	39492020
25131	chr1	39494393	39494577	+	94	485	0.11	185	10.45	-3.64	0.14	NA	39494532
25145	chr1	39500046	39500167	+	54	677	0.3	122	20.67	-2.08	0.29	NA	39500152
25241	chr1	39571017	39571121	+	31	101	0.13	105	-8.79	-2.43	0.11	NA	39571059
25344	chr1	39680860	39680973	+	34	638	0.55	114	20.43	-0.5	0.51	NA	39680935
25650	chr1	39854153	39854217	+	17	66	0.44	65	-19.77	-0.88	0.3	NA	39854160
25651	chr1	39854253	39854297	+	17	58	0.26	45	-2.74	-1.43	0.16	NA	39854261
25775	chr1	39906668	39906777	+	28	61	0.18	110	-8.17	-2.39	0.09	NA	39906709
25904	chr1	39952313	39952506	+	34	95	0.15	194	11.99	-2.52	0.11	NA	39952494
26020	chr1	40204497	40204643	+	52	3783	0.22	147	-13.33	-1.48	0.39	NA	40204552
26076	chr1	40219230	40219329	+	28	230	0.38	100	-18.19	-1.45	0.28	NA	40219262
26160	chr1	40420781	40420870	+	23	375	0.29	90	-10.13	-0.91	0.36	NA	40420818
26259	chr1	40506257	40506532	+	140	12806	0.18	276	32.58	-2.5	0.37	NA	40506428
26315	chr1	40524993	40525124	+	32	108	0.17	132	6.19	-2.51	0.1	NA	40525057
26373	chr1	40537404	40537560	+	45	169	0.14	157	3.42	-2.66	0.15	NA	40537505
26374	chr1	40537617	40537730	+	42	784	0.57	114	0.35	-0.59	0.52	NA	40537679
26401	chr1	40626998	40627067	+	29	354	0.34	70	23.74	-1.32	0.32	NA	40627057
26710	chr1	40723686	40723744	+	21	81	0.23	59	15.89	-1.78	0.14	NA	40723731
26711	chr1	40723780	40723968	+	104	2066	0.13	189	22.99	-3.09	0.24	NA	40723906
26714	chr1	40725092	40725125	+	21	124	0.24	34	-8.65	-1.51	0.2	NA	40725095
26816	chr1	40839287	40839824	+	221	9259	0.22	538	-146.45	-3.17	0.34	NA	40839397
26819	chr1	40839937	40840155	+	34	58	0.12	219	15.16	-2.79	0.06	NA	40839947
26822	chr1	40840296	40840354	+	37	541	0.19	59	-18.69	-2.07	0.22	NA	40840301
26851	chr1	40846882	40846988	+	24	76	0.16	107	-12.55	-1.99	0.13	NA	40846906
27073	chr1	40888285	40888438	+	32	103	0.24	154	-21.54	-2.22	0.16	NA	40888307
27074	chr1	40888468	40888626	+	81	258	0.1	159	-4.28	-3.65	0.11	NA	40888509
27107	chr1	40915729	40915948	+	74	269	0.29	220	-31.06	-2.91	0.21	NA	40915785
27109	chr1	40916039	40916184	+	35	69	0.13	146	-2.8	-2.82	0.06	NA	40916054
27150	chr1	40942904	40943055	+	22	58	0.24	152	-10.62	-1.59	0.19	NA	40942985
27168	chr1	40974377	40974478	+	23	59	0.14	102	-9.3	-2.22	0.07	NA	40974399
27193	chr1	40997232	40997403	+	30	67	0.16	172	0.99	-2.4	0.1	NA	40997315
27200	chr1	41006702	41006704	+	2	321	0.54	3	0.08	1.01	0.01	NA	41006703
27254	chr1	41157269	41157514	+	122	831	0.09	246	-9.53	-3.87	0.15	NA	41157374
27329	chr1	41174935	41175084	+	64	785	0.2	150	-1.35	-2.05	0.33	NA	41174993
27440	chr1	41228363	41228447	+	24	80	0.24	85	1.72	-1.92	0.15	NA	41228407
27479	chr1	41236592	41236673	+	14	78	0.28	82	17.87	-0.88	0.24	NA	41236649
27536	chr1	41445327	41445483	+	69	967	0.19	157	-24	-2.65	0.24	NA	41445366
27985	chr1	42657034	42657221	+	64	123	0.1	188	10.87	-3.59	0.07	NA	42657152
28046	chr1	42922176	42922270	+	39	430	0.2	95	2.52	-1.72	0.3	NA	42922233
28055	chr1	42923665	42923874	+	53	168	0.16	210	-24.79	-2.91	0.14	NA	42923683
28154	chr1	43123980	43124208	+	90	4897	0.61	229	-1.41	-0.3	0.65	NA	43124092
28172	chr1	43130534	43130582	+	16	147	0.69	49	8.05	0.07	0.52	NA	43130567
28180	chr1	43133018	43133112	+	30	1064	0.61	95	14.47	-0.06	0.58	NA	43133080
28187	chr1	43133798	43133835	+	14	57	0.37	38	10.87	-0.71	0.29	NA	43133828
28244	chr1	43142162	43142217	+	10	59	0.37	56	4.96	-0.55	0.23	NA	43142205
28253	chr1	43148003	43148187	+	67	437	0.16	185	1.81	-2.79	0.21	NA	43148084
28254	chr1	43148275	43148374	+	42	192	0.14	100	18.72	-2.57	0.15	NA	43148370
28314	chr1	43161865	43161933	+	31	150	0.18	69	5.29	-2.3	0.13	NA	43161920
28318	chr1	43162309	43162585	+	85	320	0.11	277	-56.21	-3.57	0.13	NA	43162345
28319	chr1	43162849	43162895	+	23	95	0.27	47	-6.36	-1.75	0.17	NA	43162850
28338	chr1	43165265	43165288	+	11	55	0.35	24	-2.17	-0.86	0.17	NA	43165274
28345	chr1	43166639	43166682	+	15	76	0.51	44	12.67	-0.5	0.36	NA	43166677
28349	chr1	43167698	43167789	+	20	198	0.5	92	-20.69	-0.42	0.44	NA	43167713
28379	chr1	43232889	43232976	+	46	419	0.12	88	20.04	-2.49	0.19	NA	43232957
28460	chr1	43312241	43312329	+	40	383	0.21	89	1.89	-2.16	0.22	NA	43312283
28631	chr1	43664952	43665100	+	60	548	0.16	149	9.78	-2.5	0.24	NA	43665055
28744	chr1	43766619	43766717	+	19	81	0.36	99	-13.98	-1.29	0.22	NA	43766651
28798	chr1	43824528	43824689	+	50	677	0.2	162	26.41	-2.18	0.26	NA	43824651
28829	chr1	43828739	43828805	+	18	97	0.37	67	19.78	-0.84	0.32	NA	43828801
28872	chr1	43855545	43855607	+	28	156	0.14	63	2.33	-2.19	0.13	NA	43855568
29042	chr1	43968205	43968205	+	1	152	1	1	0	2	1	NA	43968204
29118	chr1	44115705	44115868	+	57	588	0.3	164	18.62	-2.06	0.3	NA	44115818
29121	chr1	44116114	44116197	+	17	52	0.33	84	0.37	-1.26	0.2	NA	44116175
29263	chr1	44173172	44173278	+	31	130	0.41	107	-15.09	-1.47	0.3	NA	44173205
29676	chr1	44435625	44435694	+	53	3106	0.45	70	14.06	-1.07	0.46	NA	44435680
29710	chr1	44440555	44440743	+	87	3105	0.42	189	-28.99	-1.62	0.44	NA	44440630
29742	chr1	44443651	44443823	+	35	68	0.12	173	-17.34	-2.79	0.07	NA	44443702
29747	chr1	44444848	44444933	+	28	144	0.52	86	-0.11	-1.05	0.37	NA	44444888
29800	chr1	44456479	44456533	+	17	55	0.42	55	5.47	-1.05	0.25	NA	44456513
29872	chr1	44679089	44679233	+	60	423	0.16	145	-12.54	-2.92	0.17	NA	44679141
29941	chr1	44686279	44686315	+	15	170	0.33	37	8.87	-0.82	0.28	NA	44686303
30023	chr1	45097619	45097703	+	24	644	0.43	85	-32.43	-0.47	0.46	NA	45097625
30099	chr1	45116666	45116740	+	16	51	0.51	75	-11.82	-0.75	0.31	NA	45116673
30104	chr1	45116978	45117200	+	41	77	0.19	223	26.81	-2.82	0.1	NA	45117187
30156	chr1	45189383	45189470	+	18	63	0.52	88	7.6	-0.82	0.32	NA	45189444
30170	chr1	45205436	45205613	+	96	2731	0.22	178	7.87	-2.57	0.31	NA	45205532
30261	chr1	45232898	45233030	+	42	141	0.41	133	36.55	-1.95	0.27	NA	45233012
30262	chr1	45233055	45233119	+	21	96	0.31	65	17.91	-1.38	0.23	NA	45233117
30263	chr1	45233160	45233277	+	39	340	0.33	118	-22.18	-1.59	0.32	NA	45233192
30274	chr1	45241174	45241296	+	49	645	0.21	123	-20.34	-2.01	0.29	NA	45241217
30276	chr1	45241537	45241572	+	4	59	0.95	36	-16.62	1.63	0.81	NA	45241536
30285	chr1	45242356	45242421	+	37	765	0.34	66	5.75	-1.67	0.3	NA	45242380
30292	chr1	45243263	45243345	+	17	93	0.35	83	27.56	-1.07	0.25	NA	45243338
30293	chr1	45243378	45243435	+	22	101	0.32	58	6.46	-1.27	0.27	NA	45243409
30298	chr1	45243681	45243721	+	11	101	0.5	41	-10.09	-0.32	0.33	NA	45243683
30299	chr1	45243746	45243776	+	9	50	0.28	31	9.76	-0.6	0.18	NA	45243769
30304	chr1	45244227	45244251	+	5	184	0.97	25	9.84	1.73	0.89	NA	45244248
30305	chr1	45244276	45244350	+	40	2105	0.5	75	26.07	-0.18	0.59	NA	45244343
30325	chr1	45266045	45266064	+	9	82	0.68	20	-6.62	0.47	0.52	NA	45266047
30331	chr1	45267266	45267280	+	5	71	0.31	15	-5.34	-0.1	0.1	NA	45267266
30437	chr1	45477774	45477937	+	105	7079	0.21	164	47.89	-2.5	0.33	NA	45477916
30439	chr1	45478387	45478480	+	33	110	0.24	94	13.07	-2.05	0.2	NA	45478449
30470	chr1	45562382	45562382	+	1	323	1	1	0	2	1	NA	45562381
30502	chr1	45769477	45769645	+	31	61	0.3	169	4.25	-2.2	0.15	NA	45769563
30540	chr1	45805697	45805918	+	73	359	0.11	222	40.15	-3.26	0.15	NA	45805876
30543	chr1	45806069	45806250	+	31	67	0.13	182	17.17	-2.57	0.08	NA	45806216
30611	chr1	45965910	45966032	+	45	527	0.43	123	17.83	-1.36	0.39	NA	45965989
30650	chr1	46016451	46016613	+	95	2144	0.12	163	-13.87	-3.01	0.24	NA	46016496
30651	chr1	46016655	46016806	+	77	6887	0.21	152	8.36	-1.43	0.45	NA	46016735
30688	chr1	46032539	46032663	+	37	70	0.14	125	-15.27	-2.78	0.08	NA	46032542
30689	chr1	46032691	46032695	+	4	56	0.89	5	0.09	1.37	0.69	NA	46032692
30700	chr1	46033623	46033850	+	66	165	0.12	228	0.51	-3.46	0.1	NA	46033849
30703	chr1	46034031	46034222	+	35	72	0.18	192	46.58	-2.57	0.11	NA	46034221
30719	chr1	46035663	46035695	+	13	81	0.51	33	10.33	-0.51	0.32	NA	46035694
30733	chr1	46049631	46049856	+	82	5286	0.75	226	-21	0.21	0.72	NA	46049715
30777	chr1	46067920	46068037	+	54	617	0.23	118	-4.16	-2.27	0.26	NA	46067988
30780	chr1	46070588	46070689	+	43	543	0.15	102	2.59	-2.3	0.21	NA	46070642
30782	chr1	46072148	46072264	+	61	491	0.1	117	-21.37	-3.09	0.14	NA	46072163
30783	chr1	46072293	46072448	+	38	88	0.18	156	19.33	-2.38	0.17	NA	46072410
30788	chr1	46072853	46072913	+	15	63	0.3	61	-8.78	-1.12	0.2	NA	46072853
30790	chr1	46072993	46073172	+	28	79	0.2	180	-28.91	-1.99	0.17	NA	46073002
30791	chr1	46073219	46073404	+	38	83	0.24	186	-31.08	-2.54	0.14	NA	46073229
30838	chr1	46078821	46078893	+	32	78	0.1	73	4.37	-2.61	0.08	NA	46078860
30844	chr1	46079766	46079827	+	29	80	0.28	62	0.27	-2.12	0.15	NA	46079788
30846	chr1	46080686	46080841	+	54	169	0.11	156	0.18	-3.16	0.1	NA	46080824
30890	chr1	46152942	46153028	+	24	116	0.37	87	21.2	-1.22	0.3	NA	46153023
30895	chr1	46153820	46153948	+	70	2511	0.23	129	-24.67	-2.13	0.33	NA	46153864
30983	chr1	46269249	46269331	+	24	69	0.22	83	-10.09	-2.08	0.11	NA	46269282
31183	chr1	46598792	46598902	+	28	63	0.19	111	9.98	-2.29	0.11	NA	46598849
31189	chr1	46614442	46614442	+	1	58	1	1	0	2	1	NA	46614441
31228	chr1	46713326	46713486	+	75	689	0.11	161	0.38	-3.14	0.18	NA	46713387
31374	chr1	46769302	46769462	+	106	9408	0.19	161	-12.14	-2.52	0.33	NA	46769361
